#Time;LinearAccX;LinearAccY;LinearAccZ;AngularAccX;AngularAccY;AngularAccZ
0;0;0;0;0;0;0
1;0;0;15;0;0;0
3;0;0;0;0;0;0
3.1;0;0;0;0;6.1803398875;0
3.2;0;0;0;0;11.7557050458;0
3.3;0;0;0;0;16.1803398875;0
3.4;0;0;0;0;19.0211303259;0
3.5;0;0;0;0;20;0
3.6;0;0;0;0;19.0211303259;0
3.7;0;0;0;0;16.1803398875;0
3.8;0;0;0;0;11.7557050458;0
3.9;0;0;0;0;6.1803398875;0
4;0;0;0;0;0;0
4.1;0;0;0;0;-6.1803398875;0
4.2;0;0;0;0;-11.7557050458;0
4.3;0;0;0;0;-16.1803398875;0
4.4;0;0;0;0;-19.0211303259;0
4.5;0;0;0;0;-20;0
4.6;0;0;0;0;-19.0211303259;0
4.7;0;0;0;0;-16.1803398875;0
4.8;0;0;0;0;-11.7557050458;0
4.9;0;0;0;0;-6.1803398875;0
5;0;0;0;0;0;0
